Date,Right ascension,Declination
1041-06-07 19:00:00,08 01 34.63,+22 07 09.9
1041-06-08 07:00:00,08 04 10.01,+22 00 16.1
1041-06-08 19:00:00,08 06 43.60,+21 53 16.1
1041-06-09 07:00:00,08 09 18.42,+21 46 03.8
1041-06-09 19:00:00,08 11 51.44,+21 38 45.5
1041-06-10 07:00:00,08 14 25.67,+21 31 15.0
1041-06-10 19:00:00,08 16 58.10,+21 23 38.6
1041-06-11 07:00:00,08 19 31.74,+21 15 50.1
1041-06-11 19:00:00,08 22 03.56,+21 07 56.0
1041-06-12 07:00:00,08 24 36.59,+20 59 49.9
1041-06-12 19:00:00,08 27 07.80,+20 51 38.3
1041-06-13 07:00:00,08 29 40.22,+20 43 14.9
1041-06-13 19:00:00,08 32 10.80,+20 34 46.1
1041-06-14 07:00:00,08 34 42.59,+20 26 05.7
1041-06-14 19:00:00,08 37 12.54,+20 17 20.1
1041-06-15 07:00:00,08 39 43.69,+20 08 22.9
1041-06-15 19:00:00,08 42 13.00,+19 59 20.8
1041-06-16 07:00:00,08 44 43.51,+19 50 07.2
1041-06-16 19:00:00,08 47 12.18,+19 40 48.9
1041-06-17 07:00:00,08 49 42.03,+19 31 19.2
1041-06-17 19:00:00,08 52 10.05,+19 21 45.0
1041-06-18 07:00:00,08 54 39.26,+19 11 59.6
1041-06-18 19:00:00,08 57 06.63,+19 02 09.8
1041-06-19 07:00:00,08 59 35.18,+18 52 09.0
1041-06-19 19:00:00,09 02 01.89,+18 42 04.0
1041-06-20 07:00:00,09 04 29.79,+18 31 48.1
1041-06-20 19:00:00,09 06 55.85,+18 21 28.1
1041-06-21 07:00:00,09 09 23.10,+18 10 57.5
1041-06-21 19:00:00,09 11 48.51,+18 00 22.9
1041-06-22 07:00:00,09 14 15.10,+17 49 37.8
1041-06-22 19:00:00,09 16 39.86,+17 38 49.0
1041-06-23 07:00:00,09 19 05.81,+17 27 49.9
1041-06-23 19:00:00,09 21 29.91,+17 16 47.1
1041-06-24 07:00:00,09 23 55.21,+17 05 34.3
1041-06-24 19:00:00,09 26 18.67,+16 54 18.0
1041-06-25 07:00:00,09 28 43.33,+16 42 51.7
1041-06-25 19:00:00,09 31 06.14,+16 31 22.2
1041-06-26 07:00:00,09 33 30.16,+16 19 42.9
1041-06-26 19:00:00,09 35 52.34,+16 08 00.6
1041-06-27 07:00:00,09 38 15.73,+15 56 08.7
1041-06-27 19:00:00,09 40 37.27,+15 44 13.8
1041-06-28 07:00:00,09 43 00.03,+15 32 09.6
1041-06-28 19:00:00,09 45 20.94,+15 20 02.5
1041-06-29 07:00:00,09 47 43.08,+15 07 46.4
1041-06-29 19:00:00,09 50 03.38,+14 55 27.6
1041-06-30 07:00:00,09 52 24.89,+14 42 59.8
1041-06-30 19:00:00,09 54 44.58,+14 30 29.6
1041-07-01 07:00:00,09 57 05.49,+14 17 50.7
1041-07-01 19:00:00,09 59 24.57,+14 05 09.4
1041-07-02 07:00:00,10 01 44.88,+13 52 19.6
1041-07-02 19:00:00,10 04 03.37,+13 39 27.7
1041-07-03 07:00:00,10 06 23.09,+13 26 27.4
1041-07-03 19:00:00,10 08 40.99,+13 13 25.2
1041-07-04 07:00:00,10 11 00.13,+13 00 14.8
1041-07-04 19:00:00,10 13 17.45,+12 47 02.6
1041-07-05 07:00:00,10 15 36.02,+12 33 42.5
1041-07-05 19:00:00,10 17 52.78,+12 20 20.7
1041-07-06 07:00:00,10 20 10.80,+12 06 51.2
1041-07-06 19:00:00,10 22 27.00,+11 53 20.2
1041-07-07 07:00:00,10 24 44.47,+11 39 41.7
1041-07-07 19:00:00,10 27 00.13,+11 26 01.8
1041-07-08 07:00:00,10 29 17.07,+11 12 14.7
1041-07-08 19:00:00,10 31 32.20,+10 58 26.3
1041-07-09 07:00:00,10 33 48.62,+10 44 30.9
1041-07-09 19:00:00,10 36 03.24,+10 30 34.4
1041-07-10 07:00:00,10 38 19.15,+10 16 31.1
1041-07-10 19:00:00,10 40 33.27,+10 02 26.7
1041-07-11 07:00:00,10 42 48.69,+09 48 15.9
1041-07-11 19:00:00,10 45 02.32,+09 34 04.1
1041-07-12 07:00:00,10 47 17.27,+09 19 46.1
1041-07-12 19:00:00,10 49 30.42,+09 05 27.2
1041-07-13 07:00:00,10 51 44.91,+08 51 02.4
1041-07-13 19:00:00,10 53 57.61,+08 36 36.8
1041-07-14 07:00:00,10 56 11.66,+08 22 05.5
1041-07-14 19:00:00,10 58 23.92,+08 07 33.5
1041-07-15 07:00:00,11 00 37.54,+07 52 56.0
1041-07-15 19:00:00,11 02 49.38,+07 38 17.9
1041-07-16 07:00:00,11 05 02.59,+07 23 34.6
1041-07-16 19:00:00,11 07 14.02,+07 08 50.9
1041-07-17 07:00:00,11 09 26.85,+06 54 02.1
1041-07-17 19:00:00,11 11 37.90,+06 39 13.0
1041-07-18 07:00:00,11 13 50.35,+06 24 19.1
1041-07-18 19:00:00,11 16 01.04,+06 09 24.9
1041-07-19 07:00:00,11 18 13.14,+05 54 26.1
1041-07-19 19:00:00,11 20 23.48,+05 39 27.2
1041-07-20 07:00:00,11 22 35.25,+05 24 24.0
1041-07-20 19:00:00,11 24 45.27,+05 09 20.7
1041-07-21 07:00:00,11 26 56.73,+04 54 13.3
1041-07-21 19:00:00,11 29 06.44,+04 39 05.9
1041-07-22 07:00:00,11 31 17.61,+04 23 54.8
1041-07-22 19:00:00,11 33 27.03,+04 08 43.6
1041-07-23 07:00:00,11 35 37.93,+03 53 29.0
1041-07-23 19:00:00,11 37 47.08,+03 38 14.4
1041-07-24 07:00:00,11 39 57.73,+03 22 56.6
1041-07-24 19:00:00,11 42 06.64,+03 07 39.0
1041-07-25 07:00:00,11 44 17.05,+02 52 18.4
1041-07-25 19:00:00,11 46 25.73,+02 36 58.1
1041-07-26 07:00:00,11 48 35.93,+02 21 35.0
1041-07-26 19:00:00,11 50 44.40,+02 06 12.2
1041-07-27 07:00:00,11 52 54.41,+01 50 47.0
1041-07-27 19:00:00,11 55 02.68,+01 35 22.2
1041-07-28 07:00:00,11 57 12.51,+01 19 55.2
1041-07-28 19:00:00,11 59 20.62,+01 04 28.7
1041-07-29 07:00:00,12 01 30.29,+00 49 00.2
1041-07-29 19:00:00,12 03 38.24,+00 33 32.3
1041-07-30 07:00:00,12 05 47.78,+00 18 02.8
1041-07-30 19:00:00,12 07 55.59,+00 02 33.8
1041-07-31 07:00:00,12 10 05.01,-00 12 56.5
1041-07-31 19:00:00,12 12 12.70,-00 28 26.2
1041-08-01 07:00:00,12 14 22.02,-00 43 57.0
1041-08-01 19:00:00,12 16 29.61,-00 59 27.0
1041-08-02 07:00:00,12 18 38.85,-01 14 57.9
1041-08-02 19:00:00,12 20 46.36,-01 30 27.9
1041-08-03 07:00:00,12 22 55.53,-01 45 58.5
1041-08-03 19:00:00,12 25 02.98,-02 01 28.3
1041-08-04 07:00:00,12 27 12.11,-02 16 58.2
1041-08-04 19:00:00,12 29 19.51,-02 32 27.4
1041-08-05 07:00:00,12 31 28.60,-02 47 56.4
1041-08-05 19:00:00,12 33 35.97,-03 03 24.5
1041-08-06 07:00:00,12 35 45.06,-03 18 52.3
1041-08-06 19:00:00,12 37 52.42,-03 34 19.1
1041-08-07 07:00:00,12 40 01.52,-03 49 45.2
1041-08-07 19:00:00,12 42 08.88,-04 05 10.3
1041-08-08 07:00:00,12 44 18.00,-04 20 34.5
1041-08-08 19:00:00,12 46 25.39,-04 35 57.6
1041-08-09 07:00:00,12 48 34.55,-04 51 19.5
1041-08-09 19:00:00,12 50 41.98,-05 06 40.3
1041-08-10 07:00:00,12 52 51.20,-05 21 59.5
1041-08-10 19:00:00,12 54 58.68,-05 37 17.6
1041-08-11 07:00:00,12 57 07.98,-05 52 33.9
1041-08-11 19:00:00,12 59 15.53,-06 07 49.0
1041-08-12 07:00:00,13 01 24.92,-06 23 02.0
1041-08-12 19:00:00,13 03 32.57,-06 38 13.8
1041-08-13 07:00:00,13 05 42.07,-06 53 23.1
1041-08-13 19:00:00,13 07 49.83,-07 08 31.3
1041-08-14 07:00:00,13 09 59.46,-07 23 36.6
1041-08-14 19:00:00,13 12 07.35,-07 38 40.8
1041-08-15 07:00:00,13 14 17.12,-07 53 41.9
1041-08-15 19:00:00,13 16 25.15,-08 08 41.8
1041-08-16 07:00:00,13 18 35.10,-08 23 38.3
1041-08-16 19:00:00,13 20 43.29,-08 38 33.6
1041-08-17 07:00:00,13 22 53.42,-08 53 25.2
1041-08-17 19:00:00,13 25 01.79,-09 08 15.5
1041-08-18 07:00:00,13 27 12.12,-09 23 01.9
1041-08-18 19:00:00,13 29 20.69,-09 37 47.0
1041-08-19 07:00:00,13 31 31.24,-09 52 27.8
1041-08-19 19:00:00,13 33 40.03,-10 07 07.4
1041-08-20 07:00:00,13 35 50.82,-10 21 42.3
1041-08-20 19:00:00,13 37 59.83,-10 36 15.9
1041-08-21 07:00:00,13 40 10.88,-10 50 44.6
